QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
438.4625,430.8625,HB9F,Seftigen,JN36SS,567m,DMR GWFN,1,"46.7887815","7.5396362"
438.4625,430.8625,HB9F,Brienzer Rothorn,JN46AS,2285m,DMR GWFN,1,"46.7871033","8.0469085"
438.4625,430.8625,HB9F,Bern (City),JN36RW,568m,DMR GWFN,1,"46.9472071","7.4398352"
438.4625,430.8625,HB9F,Ringgenberg,JN36WQ,590m,DMR GWFN,1,"46.7044135","7.8960911"
438.4625,430.8625,HB9F,Münchenbuchsee,JN37RA,583m,DMR GWFN,1,"47.0213315","7.4519196"
438.4625,430.8625,HB9F,Brienz,JN46AR,693m,DMR GWFN,1,"46.7425595","8.0630417"
438.4750,430.8750,HB4FV,Premier VD,JN36FQ,888m,C4FM #17062,1,"46.7047978","6.444282"
438.4750,430.8750,HB9SP,Siblinger Randen,JN47GR,840m,DMR-I #228812 CC5 SWISS,1,"47.726848000000004","8.536442741961391"
438.4875,430.8875,HB9DD,Monte Generoso,JN45MV,1213m,DMR-B #228601 CC1,1,"45.9075648","9.0026209"
438.4875,430.8875,HB9DD,Poschiavo,JN56AH,1011m,DMR-B #228701 CC1,1,"46.3264671","10.0581552"
438.4875,430.8875,HB9NA,Mellingen,JN47DJ,356m,C4FM #31707 NFM T74.4,1,47.3958333,8.2916667
438.4875,430.8875,HB9DR,St. Gallen,JN47QK,654m,C4FM #18835,1,"47.4250593","9.3765878"
438.4875,430.8875,HB9DD,Airolo,JN46HM,2044m,DMR-B #228603 CC1,1,"46.5290309","8.6086045"
438.5000,430.9000,HB9DR,Wädenswil,JN47HF,501m,DMR-I #228891 CC2 SWISS,1,"47.2303608","8.6336119"
438.5000,430.9000,HB9ND,Melchnau,JN37WE,572m,NFM T94.8 <>HB9BA,1,"47.1824376","7.8518093"
438.5125,430.9125,HB9DD,San Bernardino,JN46OK,1613m,DMR-B #228607 CC1,1,46.4375000,9.2083333
438.5125,430.9125,HB9NFB,Reinach,JN37TL,303m,DMR*,1,"47.4935369","7.5910891"
438.5250,430.9250,HB9LC,LaChaux-de-Fonds,JN37JB,1098m,DMR-B #228202 CC1 MM,1,47.0625000,6.7916667
438.5500,430.9500,HB9GE,Meyrin,JN36AF,430m,DMR-B #228102 CC1,1,"46.2283226","6.0712016"
438.5500,430.9500,HB9CSR,Basel,JN37TN,281m,DMR#228405-CC1/C4FM#34156,1,"47.5581077","7.5878261"
438.5625,430.9625,HB9RD,Châtonnaye,JN36LS,687m,DMR-I #228104 CC1 FRANCE,1,"46.752828","6.938321"
438.5625,430.9625,HB9VSD,Verbier,JN36OC,1513m,Multimode NFM T67.0,1,"46.0967949","7.2285478"
438.5750,430.9750,HB9EAS,Basel,JN37TM,352m,DMR-B #228401 CC1,1,47.5208333,7.6250000
438.5750,430.9750,HB9DC,Männedorf,JN47IG,420m,DMR-I #228803 CC5 SWISS,1,"47.253174","8.6918153"
438.5750,430.9750,HB9DC,Männedorf,JN47IG,0m,DMR-B #228815 CC5,1,"47.253174","8.6918153"
438.5875,430.9875,HB9F,Bern (City),JN36RW,568m,DMR-B #228305 CC1,1,"46.9472071","7.4398352"
438.6000,431.0000,HB9AK,Hörnli,JN47LI,1126m,DMR-B #228809 CC1,1,"47.3709154","8.9417721"
438.6125,431.0125,HB9BG,Falkenfluh,JN36UT,1035m,C4FM #17549 DCS023,1,46.8125000,7.7083333
